latitude	longitude
-84.37566	37.688339
-97.928935	30.127892
-87.634643	24.396308
-123.625085	46.971317
-103.315567	44.01364
-88.853041	30.382999
-80.766298	35.321152
-85.952048	37.626084
-97.993537	29.840708
-6.368503999	49.882472
-74.026675	40.683935
-73.727776	40.950918
-79.0831529	35.869376
-95.4371796	30.0114438
-112.3239143	33.29026
-115.1581427	35.917793
21.8832191	49.9325949
5.8463616	43.0457968
-122.168439	39.130782
-150.0352589	61.043884
-0.4444586	51.6322356
-121.9270923	36.5737723
-123.394397	48.403014
-85.710047	38.0293
-95.823268	29.522325
-77.601044	37.447046
-75.420016	40.071936
-117.6836	33.997213
-95.823268	29.522325
120.6003495	15.0009583
-121.800366	36.894399
-119.953849	39.350749
7.302443	51.415504
-85.751406	42.883679
-97.233811	32.586565
-90.137908	29.889574
-84.3219475	33.752879
-86.542319	36.890907
-97.538285	32.569477
-75.731653	6.166058996
-118.668404	33.704538
-122.899663	45.538108
-74.123761	40.787228
-83.562378	42.526334
-84.19397	35.831436
-84.3219475	33.752879
-118.668404	33.704538
-119.781386	39.5117966
-118.668404	33.704538
-122.779239	38.396779
-98.46082	26.224943
-97.958308	26.123747
-124.703541	41.991795
-0.170246	51.564585
-84.724541	33.840719
-97.233811	32.586565
-114.241014	48.3386392
-84.382103	33.7515072
-86.348441	39.631677
-114.818269	31.3322463
120.6003495	15.0009583
-7.1683614	52.8577783
-82.8346953	39.996648
-94.724428	37.367357
-118.37032	34.1426298
-98.778559	29.141956
-121.991728	37.254665
-74.026675	40.683935
-81.785053	41.3503583
-92.889433	42.491921
-117.788282	33.921548
-97.538285	32.569477
-75.64076	6.104151002
-79.487651	37.886607
-97.928935	30.127892
-74.026675	40.683935
-87.674421	41.4814262
-84.8203089	38.403186
-95.2455149	42.6250837
-7.1683614	52.8577783
-85.605166	30.355644
-118.668404	33.704538
-2.659936	51.399367
-90.179909	29.898187
-73.02146	41.553504
-111.759345	40.2563345
-117.9805519	33.686723
-121.6919801	36.643802
-80.3563536	25.806057
-98.778559	29.141956
-114.818269	31.3322463
-79.76259	40.477383
-95.823268	29.522325
-97.928935	30.127892
-95.823268	29.522325
-95.823268	29.522325
-96.977527	32.620678
-106.645646	25.837092
-73.727776	40.950918
-84.3100508	33.776522
-2.364483	53.535082
-122.4077444	37.7711677
-80.0295184	35.962623
-80.711161	41.049898
-88.197901	38.068996
-118.668404	33.704538
-117.954201	33.625179
-90.881732	29.753203
-79.0075886	35.866334
113.5270823	22.105364
-83.661476	42.165629
-92.312215	30.659702
-88.473228	30.144425
-88.097892	37.771743
-85.605166	30.355644
-77.623126	43.166743
-91.655009	30.146096
-119.583292	36.677705
-80.177251	26.7854133
-77.119401	38.801826
-74.026675	40.683935
-86.348441	39.631677
-117.282538	32.53962
-122.374253	47.4884439
